model,forecast_date,target,target_week_end,national_raw_error,national_log_difference,national_percentage_error,national_bre,cc_national_score,cc_national_rank,cc_national_rank_percentile,state_point_forecasts_num,state_log_difference_squared,state_pearson_fit_statistic,state_mean_absolute_error,state_geo_mean_log_difference,state_median_log_difference,state_bre,state_bre_signed,state_pred_25,state_missed_by_2x,state_rmse,state_mape,state_smape,cc_state_point_score,cc_state_point_rank,cc_state_point_rank_percentile,state_range_forecasts_num,state_range_capture_rate_95pi,state_range_capture_rate_50pi,state_range_10th_percentile_width,state_range_25th_percentile_width,state_range_50th_percentile_width,state_range_average_width,state_range_75th_percentile_width,state_range_90th_percentile_width,state_ranges_gt_4x,state_ranges_gt_10x,state_ranges_95PI_score,state_ranges_interval_normalized,state_ranges_precision_raw,state_ranges_precision_95pi_adjusted,cc_state_range_score,cc_state_range_rank,cc_state_range_rank_percentile,cc_state_range_score_v2,cc_state_range_rank_v2,cc_state_range_rank_percentile_v2,state_ranges_50PI_score,state_ranges_synthetic_wis,state_ranges_synthetic_wis_sharpness,state_ranges_synthetic_wis_penalty,state_ranges_synthetic_wis_rank_percentile,state_mean_absolute_error_rank_percentile,state_log_difference_squared_rank_percentile,state_pearson_rank_percentile,state_log_difference_geo_mean_rank_percentile,state_rmse_rank_percentile,state_mape_rank_percentile,state_smape_rank_percentile,state_bre_rank_percentile,state_pred25_rank_percentile
Auquan,7/6/2020,1 wk ahead inc death,7/11/2020,524,0.088,9.23%,9.23%,90%,1,100.00%,51,43.13,8355.02,69.27,43.70%,30.97%,181.11%,157.91%,33.33%,33.33%,180.92,179.59%,60.02%,11.96%,16,66.67%,51,100.00%,0.039,22,47.025,66.905,160.459,200,420,100.00%,100.00%,21356,437.5,2.18%,4.54%,0.00%,19,0.00%,8.87%,17,11.11%,22660,69.29,8.72,60.57,66.67%,5.26%,31.58%,10.53%,47.37%,5.26%,10.53%,36.84%,10.53%,68.42%
Baseline,7/6/2020,1 wk ahead inc death,7/11/2020,-1883,-0.403,-33.17%,-49.63%,0%,14,45.83%,51,30.5,1718.14,46.61,38.83%,-23.02%,117.34%,10.50%,33.33%,23.53%,110.86,90.63%,55.37%,32.32%,7,100.00%,51,72.55%,0.373,4,4,4,3.843,4,4,0.00%,0.00%,25140,763.6,41.46%,86.56%,76.40%,1,100.00%,74.56%,4,83.33%,8158,35.39,6.58,28.81,100.00%,57.90%,47.37%,52.63%,68.42%,52.63%,42.11%,52.63%,36.84%,68.42%
Columbia,7/6/2020,1 wk ahead inc death,7/11/2020,1164,0.187,20.50%,20.50%,75%,6,79.17%,51,49.26,1956.22,46.06,52.20%,19.95%,93.95%,65.98%,23.53%,27.45%,76.04,100.14%,67.55%,16.41%,12,83.33%,51,76.47%,0.039,2,2.53,4.556,14.953,14.375,54,49.02%,31.37%,19784,362.6,24.53%,51.21%,28.90%,11,44.44%,56.70%,8,61.11%,22660,65.1,2.44,62.66,83.33%,63.16%,26.32%,42.11%,15.79%,89.47%,26.32%,26.32%,78.95%,42.11%
Columbia-UNC,7/6/2020,1 wk ahead inc death,7/11/2020,-594,-0.111,-10.46%,-11.69%,75%,3,91.67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensemble,7/6/2020,1 wk ahead inc death,7/11/2020,-1871,-0.4,-32.96%,-49.16%,0%,13,50.00%,51,20,1195.59,37.2,29.55%,-13.70%,87.96%,27.14%,37.26%,11.77%,93.49,77.80%,43.97%,51.44%,2,88.89%,51,92.16%,0.039,3.521,4.011,5.724,6.53,7,11.75,60.78%,13.73%,21353,458.9,28.90%,60.33%,33.00%,7,66.67%,81.27%,2,94.44%,22660,64.39,2.81,61.58,88.89%,89.47%,89.47%,89.47%,89.47%,84.21%,63.16%,78.95%,89.47%,84.21%
ERDC,7/6/2020,1 wk ahead inc death,7/11/2020,-651,-0.122,-11.47%,-12.95%,75%,4,87.50%,51,19.74,1079.28,36.24,35.12%,18.23%,77.23%,30.64%,35.29%,19.61%,72.78,64.14%,42.07%,45.04%,6,44.44%,51,29.41%,0.039,1.135,1.216,1.366,1.509,1.524,2.125,0.00%,0.00%,56046,852,80.45%,100.00%,31.00%,10,50.00%,30.96%,14,27.78%,22660,78.42,0.51,77.91,44.44%,94.74%,94.74%,100.00%,73.68%,94.74%,89.47%,94.74%,100.00%,73.68%
GT-DeepCOVID,7/6/2020,1 wk ahead inc death,7/11/2020,-9937,-9.337,-175.04%,233.26%,0%,25,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IHME,7/6/2020,1 wk ahead inc death,7/11/2020,-2913,-0.72,-51.31%,-105.39%,0%,22,12.50%,51,111.37,7562,68.45,58.15%,-29.04%,175.08%,31.52%,15.69%,37.26%,157.72,161.72%,120.76%,1.98%,20,5.56%,51,15.69%,0.039,1,1.325,1.511,2.596,1.702,2.066,0.00%,0.00%,106038,2695.2,75.31%,100.00%,16.50%,14,27.78%,16.51%,15,22.22%,22660,103.76,0.77,102.99,5.56%,10.53%,5.26%,15.79%,10.53%,10.53%,15.79%,10.53%,15.79%,5.26%
JHU,7/6/2020,1 wk ahead inc death,7/11/2020,-1212,-0.24,-21.35%,-27.14%,75%,7,75.00%,51,102.25,9622.25,54.43,49.22%,15.42%,131.30%,121.80%,23.53%,23.53%,97.53,189.48%,152.72%,11.40%,17,72.22%,51,88.24%,0.039,3.574,4.986,8.7,18.207,16.837,49.667,78.43%,50.98%,25224,1421.8,17.44%,36.41%,10.30%,16,16.67%,52.44%,9,55.56%,22660,68.61,4.6,64,72.22%,36.84%,10.53%,5.26%,26.32%,73.68%,5.26%,5.26%,31.58%,42.11%
LANL,7/6/2020,1 wk ahead inc death,7/11/2020,-2360,-0.537,-41.57%,-71.15%,0%,15,41.67%,51,23.73,1446.74,42.39,32.77%,-6.90%,93.17%,5.82%,37.26%,17.65%,114,71.28%,47.71%,47.18%,5,61.11%,51,88.24%,0.039,3.466,4.315,5,6.329,7.083,12,56.86%,11.77%,38194,328,29.81%,62.23%,33.00%,7,66.67%,78.61%,3,88.89%,22660,72.06,2.24,69.83,61.11%,73.68%,84.21%,68.42%,84.21%,47.37%,73.68%,68.42%,84.21%,84.21%
LSHTM,7/6/2020,1 wk ahead inc death,7/11/2020,-3709,-1.059,-65.33%,-188.47%,0%,23,8.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-CovAlliance,7/6/2020,1 wk ahead inc death,7/11/2020,-5046,-2.197,-88.89%,-799.68%,0%,24,4.17%,51,286.89,190601.33,264.84,94.35%,14.02%,294.34%,327.58%,15.69%,64.71%,819.18,421.37%,269.46%,6.67%,18,0.00%,51,37.26%,0.039,1.4,1.917,3.878,54.366,39.205,74.063,21.57%,19.61%,260709,9400.2,18.91%,39.48%,16.50%,14,27.78%,2.59%,19,0.00%,22660,196.95,48.61,148.34,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.26%
MIT-ORC,7/6/2020,1 wk ahead inc death,7/11/2020,1841,0.281,32.43%,32.43%,0%,9,66.67%,51,24.78,3332.82,64.29,47.86%,34.18%,96.13%,59.22%,17.65%,25.49%,117.77,90.06%,58.47%,14.40%,13,55.56%,51,92.16%,0.039,3.689,20,60.408,156.422,195,314,86.28%,78.43%,38465,527.1,3.89%,8.12%,6.20%,17,11.11%,12.58%,16,16.67%,22660,75.52,10.45,65.07,55.56%,21.05%,68.42%,26.32%,36.84%,36.84%,47.37%,47.37%,63.16%,15.79%
MOBS,7/6/2020,1 wk ahead inc death,7/11/2020,-1423,-0.289,-25.07%,-33.45%,0%,10,62.50%,50,33.78,2025.96,51.9,47.46%,-8.39%,133.52%,14.56%,28.00%,34.00%,117.5,96.58%,54.36%,20.21%,11,27.78%,50,52.00%,0.04,1.518,2,2.497,4.282,4.138,8.2,18.00%,4.00%,56351,853.2,46.48%,97.02%,35.10%,5,77.78%,49.65%,10,50.00%,22616,82.29,1.65,80.65,27.78%,42.11%,42.11%,36.84%,42.11%,42.11%,31.58%,57.90%,26.32%,47.37%
NotreDame-Mobility,7/6/2020,1 wk ahead inc death,7/11/2020,-2686,-0.641,-47.31%,-89.80%,0%,19,25.00%,51,63.13,2554.12,55.35,40.48%,-34.31%,114.08%,6.46%,29.41%,25.49%,127.82,92.37%,61.54%,14.15%,14,16.67%,51,64.71%,0.039,1.741,2.368,3.333,6.665,7.964,15,33.33%,21.57%,66572,614.9,35.08%,73.24%,33.00%,7,66.67%,60.95%,7,66.67%,22660,85.64,1.25,84.39,16.67%,26.32%,21.05%,31.58%,63.16%,21.05%,36.84%,31.58%,42.11%,57.90%
Oliver Wyman,7/6/2020,1 wk ahead inc death,7/11/2020,-1714,-0.359,-30.19%,-43.25%,0%,12,54.17%,51,24.02,1240.48,40.37,29.41%,-12.06%,95.14%,4.45%,41.18%,17.65%,100.31,71.25%,43.82%,49.18%,3,94.44%,51,88.24%,0.039,2.688,4.912,16,38.733,37.625,128,68.63%,54.90%,17745,368.1,11.41%,23.82%,20.60%,13,33.33%,34.84%,13,33.33%,22660,63.4,3.05,60.35,94.44%,84.21%,73.68%,84.21%,94.74%,68.42%,78.95%,84.21%,68.42%,94.74%
PSI,7/6/2020,1 wk ahead inc death,7/11/2020,-2559,-0.599,-45.08%,-82.07%,0%,18,29.17%,51,68.41,3499.75,68.24,61.66%,-54.57%,181.51%,-29.05%,23.53%,45.10%,152.06,118.44%,79.71%,1.99%,19,38.89%,51,82.35%,0.039,7.069,12.586,27.5,88.678,128,234,78.43%,68.63%,48375,365.1,5.28%,11.02%,4.10%,18,5.56%,7.52%,18,5.56%,22660,80.17,2.96,77.21,38.89%,15.79%,15.79%,21.05%,5.26%,15.79%,21.05%,15.79%,5.26%,42.11%
QJHong,7/6/2020,1 wk ahead inc death,7/11/2020,950,0.155,16.73%,16.73%,75%,5,83.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA,7/6/2020,1 wk ahead inc death,7/11/2020,-2751,-0.663,-48.46%,-94.02%,0%,20,20.83%,51,39.16,1774.64,54.69,51.96%,-53.90%,140.04%,-72.81%,23.53%,41.18%,120.02,76.01%,67.58%,13.58%,15,11.11%,51,37.26%,0.039,1.402,1.658,2.2,3.266,3.875,6,9.80%,0.00%,84151,834.6,53.62%,100.00%,28.90%,11,44.44%,39.22%,11,44.44%,22660,92.72,0.58,92.13,11.11%,31.58%,36.84%,47.37%,21.05%,26.32%,68.42%,21.05%,21.05%,42.11%
UCLA,7/6/2020,1 wk ahead inc death,7/11/2020,-2383,-0.544,-41.98%,-72.34%,0%,17,33.33%,51,28.65,1351.67,45.39,41.60%,-36.01%,105.38%,-30.15%,23.53%,25.49%,109.48,66.41%,53.19%,26.99%,8,22.22%,51,35.29%,0.039,1.444,1.571,1.662,1.735,1.767,2,1.96%,0.00%,68307,840.2,74.19%,100.00%,35.10%,5,77.78%,37.15%,12,38.89%,22660,84.82,0.66,84.16,22.22%,68.42%,57.90%,73.68%,52.63%,57.90%,84.21%,63.16%,52.63%,42.11%
UM,7/6/2020,1 wk ahead inc death,7/11/2020,-2827,-0.689,-49.80%,-99.19%,0%,21,16.67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMass-MB,7/6/2020,1 wk ahead inc death,7/11/2020,-1365,-0.275,-24.04%,-31.66%,0%,8,70.83%,51,19.22,1097.22,41.51,33.09%,-20.07%,77.47%,-13.27%,43.14%,15.69%,96.6,56.57%,42.70%,47.77%,4,77.78%,51,88.24%,0.039,2.575,3.494,4.368,5.688,6,13,45.10%,11.77%,27458,252.4,33.60%,70.15%,45.40%,2,94.44%,83.97%,1,100.00%,22660,67.54,1.92,65.62,77.78%,78.95%,100.00%,94.74%,78.95%,78.95%,100.00%,89.47%,94.74%,100.00%
USC,7/6/2020,1 wk ahead inc death,7/11/2020,564,0.095,9.94%,9.94%,90%,2,95.83%,51,23.95,1274.1,32.92,27.89%,5.13%,94.06%,50.99%,41.18%,15.69%,71.35,85.72%,41.89%,53.54%,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00%,78.95%,78.95%,100.00%,100.00%,52.63%,100.00%,73.68%,94.74%
UT,7/6/2020,1 wk ahead inc death,7/11/2020,-1673,-0.349,-29.47%,-41.78%,0%,11,58.33%,51,28.95,1710.21,50.37,41.03%,-27.87%,112.17%,-1.21%,17.65%,23.53%,107.98,84.55%,59.22%,26.47%,9,50.00%,51,66.67%,0.039,2.087,3.021,3.929,6.368,6.938,12.5,29.41%,11.77%,44024,589.9,33.98%,70.93%,39.20%,4,83.33%,61.73%,6,72.22%,22660,75.66,1.97,73.69,50.00%,47.37%,52.63%,57.90%,57.90%,63.16%,57.90%,42.11%,47.37%,15.79%
YYG,7/6/2020,1 wk ahead inc death,7/11/2020,-2368,-0.54,-41.71%,-71.56%,0%,16,37.50%,51,25.65,1545.21,50.14,48.67%,-36.77%,99.05%,-30.20%,29.41%,19.61%,118.35,60.99%,44.64%,25.70%,10,33.33%,51,68.63%,0.039,2.306,2.964,3.833,4.111,4.686,7.5,27.45%,0.00%,56466,543.8,41.44%,86.51%,43.30%,3,88.89%,70.42%,5,77.78%,22660,80.71,1.56,79.15,33.33%,52.63%,63.16%,63.16%,31.58%,31.58%,94.74%,73.68%,57.90%,57.90%
Auquan,7/6/2020,2 wk ahead inc death,7/18/2020,-1259,-0.113,-10.65%,-11.92%,75%,3,91.67%,51,26.84,13123.85,137.59,33.88%,19.17%,98.67%,57.97%,31.37%,29.41%,367.12,90.31%,50.38%,21.83%,11,77.78%,51,100.00%,0.02,38,81.075,115.619,281.9,349,730,100.00%,100.00%,37771,272,1.25%,2.61%,0.00%,19,0.00%,5.14%,18,5.56%,47208,140.59,15.43,125.16,77.78%,10.53%,57.90%,5.26%,68.42%,10.53%,10.53%,57.90%,26.32%,63.16%
Baseline,7/6/2020,2 wk ahead inc death,7/18/2020,-4238,-0.444,-35.84%,-55.86%,0%,15,41.67%,51,28.94,3340.92,106.88,41.17%,-18.70%,90.85%,-39.38%,29.41%,27.45%,284.56,52.09%,51.92%,23.52%,9,100.00%,51,72.55%,0.333,3.852,3.943,4,3.764,4,4,0.00%,0.00%,77257,351.4,42.19%,88.07%,76.40%,1,100.00%,74.95%,4,83.33%,18742,89.23,13.11,76.13,100.00%,47.37%,47.37%,57.90%,36.84%,36.84%,63.16%,52.63%,36.84%,57.90%
